"spot","x","y","count","avgSeconds","medianSeconds","totalSeconds","radiantCount","radiantTotal","direCount","direTotal"
"94,120","94","120","132","177","156","23341","65","11486","67","11855"
"118,94","118","94","124","191","170","23670","56","11190","68","12480"
"136,156","136","156","123","209","203","25675","63","12893","60","12782"
"164,134","164","134","113","201","172","22664","65","12273","48","10391"
"188,116","188","116","58","233","333","13494","34","7573","24","5921"
"116,144","116","144","57","247","318","14055","28","7873","29","6182"
"66,142","66","142","50","300","360","14984","26","7860","24","7124"
"144,62","144","62","41","271","360","11108","16","3956","25","7152"
"152,96","152","96","33","326","360","10744","21","6875","12","3869"
"174,72","174","72","23","306","360","7035","7","2520","16","4515"
"64,178","64","178","20","334","360","6677","7","1997","13","4680"
"108,144","108","144","19","281","360","5331","6","1417","13","3914"
"146,98","146","98","17","358","360","6089","14","5009","3","1080"
"126,108","126","108","17","346","360","5876","1","360","16","5516"
"116,142","116","142","17","309","360","5257","5","1507","12","3750"
"158,72","158","72","16","318","360","5083","6","2160","10","2923"
"104,132","104","132","16","260","360","4159","6","1991","10","2168"
"90,146","90","146","16","260","360","4162","5","1781","11","2381"
"142,102","142","102","15","287","360","4312","9","2616","6","1696"
"144,72","144","72","15","263","345","3940","2","425","13","3515"
"126,157","126","157","15","241","306","3619","12","3062","3","557"
"74,180","74","180","14","339","360","4746","7","2318","7","2428"
"97,140","97","140","14","313","360","4379","8","2388","6","1991"
"148,118","148","118","14","306","360","4291","5","1533","9","2758"
"138,124","138","124","14","265","360","3706","3","751","11","2955"
"149,117","149","117","14","236","285","3305","6","1326","8","1979"
"124,130","124","130","14","113","82","1579","5","582","9","997"
"116,188","116","188","13","337","360","4386","7","2226","6","2160"
"102,134","102","134","13","306","360","3978","6","1946","7","2032"
"94,184","94","184","13","275","360","3573","9","2413","4","1160"
"114,130","114","130","13","264","360","3436","12","3275","1","161"
"110,130","110","130","13","197","134","2565","11","2463","2","102"
"112,130","112","130","12","211","234","2531","8","1662","4","869"
"144,122","144","122","11","326","360","3583","5","1756","6","1827"
"134,114","134","114","11","227","297","2496","7","1863","4","633"
"119,139","119","139","10","234","299","2341","5","938","5","1403"
"129,118","129","118","10","155","128","1551","8","1302","2","249"
"180,76","180","76","9","320","360","2879","6","2099","3","780"
"168,125","168","125","9","304","360","2737","8","2377","1","360"
"113,130","113","130","9","296","360","2662","4","1213","5","1449"
"159,72","159","72","9","295","360","2652","3","732","6","1920"
"136,109","136","109","9","229","360","2057","3","777","6","1280"
"102,133","102","133","9","194","182","1744","5","991","4","753"
"80,186","80","186","8","344","360","2751","5","1671","3","1080"
"193,80","193","80","8","329","360","2634","6","1914","2","720"
"166,110","166","110","8","320","360","2561","7","2257","1","304"
"151,116","151","116","8","298","360","2385","3","718","5","1667"
"113,151","113","151","8","286","360","2288","5","1208","3","1080"
"103,133","103","133","8","278","338","2220","4","922","4","1298"
"107,170","107","170","8","274","360","2192","5","1482","3","710"
"118,126","118","126","8","271","360","2169","5","1391","3","778"
"120,138","120","138","8","267","348","2135","0","0","8","2135"
"111,130","111","130","8","264","360","2110","6","1684","2","426"
"130,118","130","118","8","257","360","2057","2","504","6","1553"
"190,80","190","80","7","337","360","2362","6","2002","1","360"
"128,98","128","98","7","336","360","2353","3","919","4","1434"
"110,182","110","182","7","326","360","2284","4","1340","3","944"
"126,120","126","120","7","317","360","2222","5","1502","2","720"
"163,113","163","113","7","315","360","2207","2","683","5","1524"
"118,188","118","188","7","314","360","2196","6","2072","1","124"
"142,74","142","74","7","308","360","2155","0","0","7","2155"
"93,145","93","145","7","287","360","2007","4","1386","3","621"
"160,72","160","72","7","284","323","1988","4","1084","3","904"
"188,108","188","108","7","264","360","1848","3","627","4","1221"
"112,163","112","163","7","255","360","1782","5","1062","2","720"
"96,184","96","184","7","255","304","1784","3","543","4","1241"
"103,117","103","117","7","245","299","1716","1","35","6","1681"
"145,84","145","84","7","231","360","1620","3","1080","4","540"
"142,89","142","89","6","350","360","2099","5","1739","1","360"
"98,156","98","156","6","344","360","2061","1","261","5","1800"
"90,112","90","112","6","330","360","1979","1","360","5","1619"
"155,74","155","74","6","324","360","1942","1","360","5","1582"
"162,102","162","102","6","322","360","1932","5","1572","1","360"
"86,140","86","140","6","320","360","1923","0","0","6","1923"
"140,90","140","90","6","308","344","1847","3","798","3","1049"
"97,184","97","184","6","306","360","1836","3","756","3","1080"
"129,110","129","110","6","296","360","1775","3","724","3","1051"
"137,124","137","124","6","287","360","1724","1","360","5","1364"
"166,72","166","72","6","274","360","1647","3","761","3","886"
"73,154","73","154","6","272","360","1631","0","0","6","1631"
"144,100","144","100","6","264","360","1585","4","1136","2","449"
"69,118","69","118","6","261","287","1566","1","121","5","1445"
"143,101","143","101","6","261","360","1564","5","1204","1","360"
"114,150","114","150","6","256","360","1536","1","28","5","1508"
"88,184","88","184","6","255","360","1531","5","1171","1","360"
"131,96","131","96","6","240","327","1441","4","1374","2","67"
"115,149","115","149","6","228","287","1370","4","1095","2","275"
"97,155","97","155","6","222","289","1329","2","364","4","965"
"92,131","92","131","6","203","215","1216","3","571","3","645"
"138,104","138","104","6","196","202","1174","2","405","4","769"
"154,74","154","74","6","178","126","1066","2","540","4","526"
"89,146","89","146","5","360","360","1800","1","360","4","1440"
"192,80","192","80","5","360","360","1800","5","1800","0","0"
"126,90","126","90","5","325","360","1625","2","720","3","905"
"126,158","126","158","5","309","360","1545","2","465","3","1080"
"113,162","113","162","5","298","360","1489","2","720","3","769"
"136,112","136","112","5","297","360","1486","4","1126","1","360"
"108,170","108","170","5","295","360","1475","2","395","3","1080"
"181,77","181","77","5","291","360","1456","4","1440","1","16"
"88,183","88","183","5","291","356","1455","2","716","3","739"
"146,84","146","84","5","290","360","1449","2","662","3","787"
"189,79","189","79","5","289","360","1447","3","1080","2","367"
"139,103","139","103","5","288","360","1439","0","0","5","1439"
